,Date,HighTemp.,LowTemp.,AvgTemp.,TempDeparture,HDD,CDD,GDD,AvgDewpoint,AvgRH,AvgWind Speed,AvgWind Dir,AvgPress,TotalPrecip,# obs
341,2021-01-17,46,34,40,7,25,0,0,26,58,14,244,1006.0,,24
342,2021-01-16,47,36,43,10,22,0,0,35,76,10,214,999.6,0.16,24
343,2021-01-15,54,34,44,11,21,0,0,39,82,8,94,1011.2,0.07,24
344,2021-01-14,51,32,40,7,25,0,0,31,69,2,63,1010.7,,24
345,2021-01-13,46,29,36,2,29,0,0,26,66,6,173,1016.7,,24
346,2021-01-12,43,27,35,1,30,0,0,25,67,6,244,1020.7,,24
347,2021-01-11,40,26,33,-1,32,0,0,23,67,1,28,1025.1,,24
348,2021-01-10,46,31,37,3,28,0,0,19,47,6,268,1023.3,,24
349,2021-01-09,43,26,35,1,30,0,0,15,43,13,330,1013.5,,24
350,2021-01-08,36,28,32,-2,33,0,0,21,64,6,279,1015.7,,24
351,2021-01-07,44,30,37,3,28,0,0,23,56,11,332,1020.2,,24
352,2021-01-06,42,36,39,5,26,0,0,26,59,15,324,1017.5,,24
353,2021-01-05,41,39,40,6,25,0,0,31,69,5,227,1013.7,,24
354,2021-01-04,43,35,39,4,26,0,0,33,80,7,282,1015.2,0.01,24
355,2021-01-03,39,35,37,2,28,0,0,33,85,10,96,1015.8,0.19,24
356,2021-01-02,53,38,45,10,20,0,0,37,77,10,211,1014.3,0.02,24
357,2021-01-01,41,28,35,0,30,0,0,28,78,7,117,1028.1,0.82,24
